terminal id,9a944393-b638-4e45-a1ea-c58b39745ee3,,,,,,,
terminal name,Murundi04,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/10/2018 15:31,19.5,64.87,3.82,0,0,0,0,0
1/10/2018 15:34,19.45,64.57,3.82,0,0,0,0,0
1/10/2018 15:34,20.45,60.57,3.82,0,0,0,0,0
1/10/2018 15:49,18.98,65.16,3.82,0,0,0,0,0
1/10/2018 16:04,18.92,65.63,3.82,0,0,0,0,0
1/10/2018 16:18,18.86,65.77,3.82,0,0,0,0,0
1/10/2018 16:33,18.93,64.89,3.81,0,0,0,0,0
1/10/2018 16:48,19.02,67.02,3.81,0,0,0,0,0
1/10/2018 17:02,19.12,66.69,3.81,0,0,0,0,0
1/10/2018 17:17,19.13,65.06,3.81,0,0,0,0,0
1/10/2018 17:32,19.04,66.97,3.82,0,0,0,0,0
1/10/2018 17:46,18.96,66.92,3.81,0,0,0,0,0
1/10/2018 18:01,18.91,67.2,3.82,0,0,0,0,0
1/10/2018 18:16,18.92,68.33,3.82,0,0,0,0,0
1/10/2018 18:31,18.83,68.31,3.82,0,0,0,0,0
1/10/2018 19:00,18.72,69.67,3.82,0,0,0,0,0
1/10/2018 19:15,18.74,69.72,3.82,0,0,0,0,0
1/10/2018 19:29,18.78,70.37,3.82,0,0,0,0,0
1/10/2018 19:44,18.82,70.74,3.82,0,0,0,0,0
1/10/2018 19:59,18.86,71.19,3.82,0,0,0,0,0
1/10/2018 20:13,18.89,70.56,3.82,0,0,0,0,0
1/10/2018 20:28,18.89,69.95,3.81,0,0,0,0,0
1/10/2018 20:43,18.9,69.64,3.82,0,0,0,0,0
1/10/2018 20:58,18.89,69.7,3.81,0,0,0,0,0
1/10/2018 21:27,18.89,69.86,3.82,0,0,0,0,0
1/10/2018 21:56,18.87,70.22,3.81,0,0,0,0,0
1/10/2018 22:11,18.86,70.49,3.81,0,0,0,0,0
1/10/2018 22:40,18.84,70.24,3.81,0,0,0,0,0
1/10/2018 22:55,18.82,70.21,3.81,0,0,0,0,0
1/10/2018 23:10,18.78,69.9,3.81,0,0,0,0,0
1/10/2018 23:54,18.68,70.24,3.81,0,0,0,0,0
1/11/2018 0:23,18.62,70.28,3.81,0,0,0,0,0
1/11/2018 0:38,18.58,70.53,3.81,0,0,0,0,0
1/11/2018 0:53,18.56,70.71,3.81,0,0,0,0,0
1/11/2018 1:07,18.54,70.9,3.81,0,0,0,0,0
1/11/2018 1:22,18.52,71.07,3.81,0,0,0,0,0
