terminal id,9376c986-ca66-4d2c-8639-b2894486f504,,,,,,,
terminal name,Ndego03,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/10/2018 18:03,20.36,61.24,3.82,0,0,0,0,0
1/12/2018 10:52,23.8,68.92,2.98,0,0,0,0,0
1/12/2018 11:06,23.92,68.26,2.78,0,0,0,0,0
1/12/2018 12:20,26.19,53.04,3.83,0,0,0,0,0
1/12/2018 12:45,27.08,57.62,3.83,0,0,0,0,0
1/12/2018 12:47,29.49,50.12,3.82,0,0,0,0,0
1/12/2018 13:07,27.65,52.15,3.83,0,0,0,0,0
1/12/2018 13:09,27.61,53.2,3.83,0,0,0,0,0
1/12/2018 13:15,27.01,53.79,3.82,0,0,0,0,0
1/12/2018 13:16,27.62,51.5,3.82,0,0,0,0,0
1/12/2018 13:17,27.76,49.77,3.82,0,0,0,0,0
1/12/2018 13:19,27.78,49.64,3.82,0,0,0,0,0
1/12/2018 13:20,27.83,50.5,3.82,0,0,0,0,0
1/12/2018 13:21,27.85,50.21,3.82,0,0,0,0,0
1/12/2018 13:32,26.94,53.39,3.86,0,0,0,0,0
1/12/2018 13:39,27.17,51.51,3.85,0,0,0,0,0
1/12/2018 14:10,28.08,46.7,3.87,0,0,0,0,0
1/12/2018 14:24,29.12,40.63,3.87,0,0,0,0,0
1/12/2018 14:39,29.29,46.71,3.87,0,0,0,0,0
1/12/2018 14:54,29,49.02,3.87,0,0,0,0,0
1/12/2018 15:08,28.01,45.67,3.87,0,0,0,0,0
1/12/2018 15:23,27.8,47.39,3.87,0,0,0,0,0
1/12/2018 15:38,26.42,54.08,3.87,0,0,0,0,0
1/12/2018 15:52,24.6,56.89,3.87,0,0,0,0,0
1/12/2018 16:07,22.82,64.41,3.87,0,0,0,0,0
1/12/2018 16:22,21.73,75.1,3.86,0,0,0,0,0
1/12/2018 16:36,21,77.68,3.86,0,0,0,0,0
1/12/2018 16:51,20.81,80.87,3.86,0,0,0,0,0
1/12/2018 17:06,20.75,83.76,3.86,0,0,0,0,0
1/12/2018 17:20,20.4,83.88,3.86,0,0,0,0,0
