terminal id,3b17a818-7ced-4761-abae-541053c323c2,,,,,,,
terminal name,Rwinkwavu01,,,,,,,
date,s1,s2,s3,s4,s5,s6,s7,s8
1/10/2018 17:09,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 17:23,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 17:38,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 18:08,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 18:23,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 18:53,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 19:08,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 19:23,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 19:38,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 19:53,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 20:07,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 20:22,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 20:37,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 20:52,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 21:07,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 21:22,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 21:52,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 22:07,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 22:22,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 22:37,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 22:52,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 23:07,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 23:21,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 23:36,615.35,-6274.38,0.01,0,0,0,0,0
1/10/2018 23:51,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 0:06,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 0:21,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 0:36,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 0:51,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 1:06,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 1:21,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 1:35,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 1:50,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 2:20,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 2:35,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 2:50,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 3:05,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 3:20,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 3:35,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 3:50,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 4:04,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 4:19,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 4:34,615.35,-6274.38,0.01,0,0,0,0,0
1/11/2018 4:49,615.35,-6274.38,0.01,0,0,0,0,0
